album,song,word_count,tb_polarity,tb_subjectivity,tb_sentiment,vader_compound,vader_positive,vader_negative,vader_neutral,vader_sentiment
Lover,Soonyoullgetbetter,278,0.2857142857142857,0.5071428571428571,positive,0.9926,0.204,0.038,0.758,positive
Lover,Theman,447,-0.14867724867724863,0.6755731922398589,negative,-0.9863,0.069,0.114,0.817,negative
Lover,Ithinkheknows,414,-0.10531045751633987,0.5048202614379085,negative,0.9971,0.208,0.014,0.779,positive
Lover,Cruelsummer,459,-0.10499313694435647,0.5592640692640694,negative,-0.9471,0.156,0.164,0.68,negative
Lover,Missamericana Theheartbreakprince,536,0.011639344262295123,0.5577595628415298,neutral,-0.996,0.147,0.229,0.623,negative
Lover,Falsegod,336,-0.051806526806526816,0.6655594405594404,neutral,0.9982,0.281,0.104,0.616,positive
Lover,Daylight,498,0.02039742664742663,0.5499083092833092,neutral,0.9917,0.108,0.037,0.855,positive
Lover,Londonboy,460,0.35444444444444445,0.37287037037037035,positive,0.9996,0.313,0.002,0.684,positive
Lover,Youneedtocalmdown,363,0.014695340501792121,0.5264336917562725,neutral,0.9914,0.185,0.083,0.732,positive
Lover,Corneliastreet,403,-0.08890200708382527,0.4657811885084611,neutral,-0.0787,0.104,0.094,0.802,negative
Lover,Iforgotthatyouexisted,322,0.07116815476190477,0.6352306547619048,neutral,0.9638,0.166,0.132,0.702,positive
Lover,Deathbyathousandcuts,447,0.11346153846153849,0.5865384615384615,positive,0.9914,0.179,0.124,0.697,positive
Lover,Itsnicetohaveafriend,178,0.31527777777777777,0.6555555555555556,positive,0.9958,0.311,0.03,0.658,positive
Lover,Afterglow,407,0.05454545454545456,0.46893939393939393,neutral,0.5416,0.131,0.128,0.741,positive
theladieslunchingchapter,Betty,480,-0.1409340659340659,0.7193223443223443,negative,0.9596,0.139,0.101,0.76,positive
theladieslunchingchapter,Nobody Nocrime,426,0.2545454545454545,0.43806818181818186,positive,0.9452,0.129,0.088,0.783,positive
theladieslunchingchapter,Rightwhereyouleftme,425,0.08096590909090906,0.3290298821548822,neutral,-0.9886,0.057,0.132,0.811,negative
theladieslunchingchapter,Marjorie,336,0.09950617283950618,0.4423456790123457,neutral,0.9636,0.174,0.116,0.71,positive
theladieslunchingchapter,August,417,-0.018181818181818188,0.4644444444444444,neutral,0.9959,0.15,0.03,0.821,positive
theladieslunchingchapter,Dorothea,259,-0.11965811965811968,0.3568376068376068,negative,-0.4414,0.079,0.085,0.836,negative
LavenderHaze_Remixes_,Lavenderhaze Snakehipsremix,320,0.15575757575757576,0.7503030303030304,positive,-0.8192,0.106,0.116,0.779,negative
LavenderHaze_Remixes_,Lavenderhaze Jungleremix,573,0.07022551092318552,0.5547568710359398,neutral,-0.9996,0.01,0.235,0.755,negative
LavenderHaze_Remixes_,Lavenderhaze,320,0.15575757575757576,0.7503030303030304,positive,-0.8192,0.106,0.116,0.779,negative
LavenderHaze_Remixes_,Lavenderhaze Felixjaehnremix,390,0.15431818181818183,0.7627272727272728,positive,-0.9391,0.091,0.121,0.788,negative
